"date","seller","material","thickness","cuttype","speed","minpuiss","maxpuiss"
"2015-06-09","Leroy Merlin","MDF","3","Decoupe","25","40","50"
"2015-06-09","Aduis","Peuplier - contreplaque","4","Decoupe","40","30","40"
"2015-06-09","Aduis","Peuplier - contreplaque","4","Decoupe","40","35","40"
"2015-06-09","Leroy Merlin","Peuplier - contreplaque","4","Decoupe","25","35","50"
"2015-06-09","Leroy Merlin","Peuplier - contreplaque","6","Decoupe","30","70","90"
"2015-06-09","Leroy Merlin","Peuplier - contreplaque","6","Decoupe","25","80","95"
"2015-06-09","Aduis","Peuplier - contreplaque","6","Decoupe","25","85","95"
"2015-06-09","Aduis","Peuplier - contreplaque","6","Decoupe","30","85","90"
"2015-06-09","Aduis","Peuplier - contreplaque","4","Decoupe","20","85","90"
"2015-06-09","Bricomarche","MDF","6","Decoupe","50","85","90"
"2015-06-09","Bricomarche","MDF","6","Decoupe","40","90","95"
"2015-06-09","Bricomarche","MDF","6","Decoupe","40","90","100"
"2015-06-09","Bricomarche","MDF","6","Decoupe","35","95","100"
"2015-06-09","Leroy Merlin","Peuplier - contreplaque","5","Decoupe","20","40","50"
"2015-06-09","Castorama","Peuplier - contreplaque","4","Decoupe","50","40","50"
"2015-06-09","Castorama","Peuplier - contreplaque","4","Decoupe","50","40","60"
"2015-06-09","Castorama","Peuplier - contreplaque","4","Decoupe","55","45","60"
"2015-06-09","Castorama","Peuplier - contreplaque","6","Decoupe","30",NA,NA
"2015-06-09","Castorama","Peuplier - contreplaque","6","Decoupe","10","70","90"
"2015-06-09","Castorama","Peuplier - contreplaque","6","Decoupe","20","80","95"
"2015-06-09","Bastel-Kiste","Mousse","4","Decoupe","50","10","10"
"2015-06-09","Bastel-Kiste","Mousse","4","Decoupe","50","10","10"
"2015-06-09","Bastel-Kiste","Mousse","4","Decoupe","100","10","20"
"2015-06-09","Castorama","Mousse","4","Decoupe","60","10","10"
"2015-06-09","Leroy Merlin","Peuplier - contreplaque","4","Gravure","500","10","20"
"2015-06-09","Leroy Merlin","Peuplier - contreplaque","4","Gravure","600","20","30"
"2015-06-09","Leroy Merlin","Peuplier - contreplaque","4","Gravure","650","20","25"
"2015-06-10","Castorama","Peuplier - contreplaque","4","Decoupe","25","50","70"
"2015-06-10","Leroy Merlin","MDF","6","Decoupe","45","70","90"
"2015-06-10","Castorama","Peuplier - contreplaque","6","Decoupe","10","60","70"
"2015-06-10","Aduis","Peuplier - contreplaque","10","Decoupe","5","80","90"
"2015-06-10","Aduis","Peuplier - contreplaque","10","Decoupe","5","80","90"
"2015-06-10","Aduis","Peuplier - contreplaque","10","Decoupe","5","85","95"
"2015-06-10","Aduis","Peuplier - contreplaque","10","Decoupe","6","85","95"
"2015-06-10","Aduis","Peuplier - contreplaque","10","Decoupe","6","80","95"
"2015-06-10","Aduis","Peuplier - contreplaque","10","Decoupe","6","80","90"
"2015-06-11","Hella","MDF","3","Decoupe","25","35","45"
"2015-06-11","Aduis","Peuplier - contreplaque",NA,"Decoupe",NA,NA,NA
"2015-06-11","Leroy Merlin","Peuplier - contreplaque","6","Decoupe","30","80","90"
"2015-06-11","Aduis","Peuplier - contreplaque","6","Decoupe","30","65","90"
"2015-06-11","Leroy Merlin","MDF","3","Decoupe","30","45","50"
